City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-0.33,100,100,4.63,CA,1730068597
1,ushuaia,-54.8,-68.3,7.81,57,75,1.03,AR,1730068598
2,praia da vitoria,38.7333,-27.0667,18.14,77,75,3.6,PT,1730068599
3,kalmunai,7.4167,81.8167,26.24,84,49,0.48,LK,1730068600
4,blackmans bay,-43.0167,147.3167,12.07,62,13,1.79,AU,1730068601
5,khanpur,28.6453,70.6567,26.9,24,14,2.31,PK,1730068602
6,iskateley,67.6803,53.1512,-0.17,91,81,4.85,RU,1730068604
7,luganville,-15.5333,167.1667,26.78,83,100,4.46,VU,1730068605
8,puerto natales,-51.7236,-72.4875,7.25,81,100,9.77,CL,1730068606
9,moose jaw,50.4001,-105.5344,20.14,22,52,6.69,CA,1730068607
10,yerofey pavlovich,53.9667,121.9667,-6.89,84,70,0.64,RU,1730068608
11,grytviken,-54.2811,-36.5092,-1.89,79,63,1.14,GS,1730068609
12,luau,-10.7073,22.2247,19.09,81,36,1.82,AO,1730068610
13,longyearbyen,78.2186,15.6401,-0.09,100,75,0.51,SJ,1730068611
14,whitehorse,60.7161,-135.0538,-4.39,80,75,4.12,CA,1730068614
15,port-aux-francais,-49.35,70.2167,2.33,68,100,12.55,TF,1730068615
16,adamstown,-25.066,-130.1015,22.24,81,17,3.87,PN,1730068616
17,klaksvik,62.2266,-6.589,5.28,71,95,3.02,FO,1730068617
18,thompson,55.7435,-97.8558,-1.91,69,100,2.57,CA,1730068618
19,menongue,-14.6585,17.691,20.35,70,92,3.58,AO,1730068620
20,nar'yan-mar,67.6713,53.087,-0.16,91,82,4.91,RU,1730068621
21,ad dawadimi,24.5077,44.3924,20.64,45,78,4.43,SA,1730068622
22,callao,-12.0667,-77.15,19.16,72,0,6.69,PE,1730068623
23,garbahaarrey,3.3289,42.2209,26.71,70,100,5.73,SO,1730068624
24,chonchi,-42.6128,-73.8092,10.25,76,24,0.43,CL,1730068625
25,puerto ayora,-0.7393,-90.3518,20.86,95,85,3.13,EC,1730068626
26,rio preto da eva,-2.6994,-59.6997,31.25,40,99,0.65,BR,1730068627
27,bethel,41.3712,-73.414,9.47,40,44,0.45,US,1730068629
28,las heras,-46.5419,-68.9359,15.61,31,100,8.01,AR,1730068630
29,albany,42.6001,-73.9662,9.08,56,57,2.29,US,1730068631
30,margaret river,-33.95,115.0667,12.73,73,9,3.52,AU,1730068561
31,ilulissat,69.2167,-51.1,-11.99,52,4,0.51,GL,1730068633
32,vilyuysk,63.7553,121.6247,-14.84,91,99,2.56,RU,1730068634
33,tiksi,71.6872,128.8694,-15.34,95,100,1.81,RU,1730068635
34,west island,-12.1568,96.8225,25.99,83,20,5.14,CC,1730068637
